,0,1
0,92.1949087,21.0027316
1,92.2661084,21.057847
2,92.2666032,21.0602169
3,92.1424873,21.0778616
4,92.197069,21.1158062
5,92.1495719,21.0880221
6,92.2675146,21.0606077
7,92.267745,21.0608723
8,92.2669307,21.0617163
9,92.2664015,21.0679611
10,92.2623186,21.0751282
11,92.2735984,21.0716103
12,92.2743623,21.0715252
13,92.2625584,21.075745
14,92.2626684,21.0760208
15,92.2616194,21.0765336
16,92.2564135,21.0840395
17,92.2562633,21.0842797
18,92.1843031,21.1323965
19,92.1709921,21.1957931
20,92.1387029,21.2448143
21,92.1387029,21.2448143
22,92.1387029,21.2448143
23,92.1293873,21.0960832
24,92.1293873,21.0960832
25,92.1293873,21.0960832
26,92.2655217,21.1166298
27,92.2586532,21.1314424
28,92.2571385,21.1336202
29,92.3226822,21.1199067
30,92.2294212,21.1168704
31,92.2271243,21.118582
32,92.32103,21.1198027
33,92.0689051,21.1570212
34,92.0669625,21.1598653
35,92.2258169,21.1374046
36,92.2570263,21.1336577
37,92.2567947,21.1337519
38,92.1889607,21.1399348
39,92.1892131,21.1412243
40,92.1916992,21.1414631
41,92.1919441,21.1405621
42,92.2554361,21.1353924
43,92.1863559,21.1423293
44,92.2507568,21.1524184
45,92.1881082,21.164392
46,92.0671908,21.1563698
47,92.0669067,21.1570743
48,92.2486218,21.1616619
49,92.066768,21.1572037
50,92.0658342,21.1578918
51,92.0657395,21.1579924
52,92.0667675,21.1600053
53,92.0645032,21.1619197
54,92.06002,21.1650195
55,92.0643014,21.1620652
56,92.0611167,21.1665359
57,92.0600362,21.1652049
58,92.0608748,21.1668598
59,92.2429992,21.1719865
60,92.0573794,21.1683055
61,92.0598725,21.1685127
62,92.0552431,21.1721439
63,92.0572134,21.1726906
64,92.1849605,21.1738043
65,92.0551396,21.1723226
66,92.0571622,21.172776
67,92.0534526,21.1747726
68,92.0547344,21.1757617
69,92.0533073,21.1749164
70,92.0525321,21.1759206
71,92.0546783,21.1758851
72,92.0524241,21.1760582
73,92.2819642,21.3835019
74,92.2742609,21.4262141
75,92.2803335,21.4181241
76,92.2801992,21.4188382
77,92.234949,21.1830809
78,92.051607,21.1794907
79,92.1837461,21.1793275
80,92.1753323,21.1946651
81,92.0515387,21.1795872
82,92.0510164,21.1811882
83,92.0480855,21.1853609
84,92.0510175,21.1814039
85,92.187972,21.1842565
86,92.2160566,21.1841552
87,92.218936,21.1848414
88,92.2265843,21.1871817
89,92.0480767,21.185556
90,92.1891191,21.1883878
91,92.0487132,21.191819
92,92.1948193,21.1954067
93,92.1974467,21.1952982
94,92.0487528,21.1920675
95,92.0487528,21.1983878
96,92.1782205,21.1981798
97,92.1767398,21.1955065
98,92.1977255,21.1989074
99,92.1978031,21.1976741
100,92.0487594,21.1985726
101,92.2009901,21.1996743
102,92.0492087,21.2029461
103,92.0492241,21.203137
104,92.0501773,21.2258467
105,92.0492219,21.2051102
106,92.0492153,21.2052765
107,92.2147486,21.2246986
108,92.048189,21.2196997
109,92.0482066,21.2198784
110,92.0502894,21.2262416
111,92.0494847,21.2346745
112,92.0494403,21.2349638
113,92.0493988,21.2353037
114,92.0494668,21.236229
115,92.0495993,21.2424739
116,92.0483452,21.2418379
117,92.0483576,21.2421993
118,92.0495872,21.2426926
119,92.1387029,21.2448143
120,92.0483453,21.2861759
121,92.0584433,21.2839314
122,92.0483453,21.2861759
123,92.0483453,21.2861759
124,92.1035043,21.2757409
125,92.0504121,21.2942543
126,92.0516337,21.2953925
127,92.024561,21.3544758
128,92.2147671,21.3395517
129,92.0932219,21.3177016
130,92.0289653,21.4212722
131,92.0267772,21.4232609
132,92.0239199,21.4255957
133,92.0231971,21.4258913
134,92.2175219,21.3424572
135,92.0951527,21.428524
136,92.1040192,21.4295057
137,92.1991002,21.3750299
138,92.2208747,21.3843519
139,92.2706938,21.3981779
140,92.0242228,21.3551558
141,92.0242994,21.3550403
142,91.984487,21.4160628
143,91.9843113,21.4159875
144,91.9892237,21.4157484
145,91.9843075,21.416099
146,91.9844405,21.4160471
147,91.9880191,21.4173829
148,91.988002,21.4174479
149,91.9934901,21.4180497
150,92.178793,21.4298801
151,92.190922,21.4410227
152,92.2413239,21.4100712
153,92.2436679,21.4096361
154,92.2393306,21.413085
155,92.2393261,21.4132171
156,92.2389343,21.4141921
157,92.2388636,21.4142923
158,92.0023058,21.417762
159,91.9844183,21.4184731
160,92.0018589,21.4184925
161,91.9832487,21.4178649
162,91.9836975,21.4200438
163,92.0016073,21.4189036
164,92.0275904,21.4189813
165,92.0269612,21.4196192
166,91.9915931,21.4209725
167,91.999694,21.4190884
168,91.9995178,21.4195447
169,92.001363,21.4193029
170,91.9992046,21.4198202
171,91.999522,21.4200643
172,91.999522,21.4200643
173,92.0283275,21.4195749
174,92.0276717,21.4202004
175,91.9773947,21.4219781
176,92.0011217,21.4196972
177,91.9992873,21.4204491
178,92.0008804,21.4200915
179,91.9928283,21.4203282
180,91.9828578,21.4215046
181,91.9982411,21.4243904
182,91.9999344,21.4216371
183,91.9996446,21.4221084
184,91.9993992,21.4225073
185,91.9993992,21.4225073
186,91.9989167,21.4232919
187,91.9931887,21.4217772
188,92.0150031,21.4246466
189,91.9957946,21.4231398
190,91.9993579,21.4249612
191,91.9961871,21.4233404
192,92.0256174,21.422852
193,92.0006333,21.4220097
194,91.9814645,21.4220031
195,92.0246808,21.422166
196,91.9823255,21.4224412
197,92.0003453,21.4224725
198,91.9993992,21.4225073
199,92.0188015,21.422756
200,92.0000992,21.422868
201,91.977287,21.4220142
202,91.9787342,21.4226888
203,91.9801793,21.4234669
204,91.981911,21.4222416
205,91.9998645,21.4232451
206,91.9815163,21.4239218
