road,id,model_type,name,lat,lon,length,condition
N1,1166,link,link,21.1239993,92.1919997,427.772,
N1,1167,link,link,21.1229993,92.1926663,427.906,
N1,1168,link,link,21.122166,92.1931941,428.019,
N1,1169,link,link,21.1214993,92.1935552,428.104,
N1,1170,link,link,21.1198604,92.1954719,428.387,
N1,1171,bridge,bridge,21.1190827,92.1960274,428.498,C
N1,1172,bridge,bridge,21.1175827,92.1966663,428.691,B
N1,1173,bridge,bridge,21.1165,92.1969163,428.818,B
N1,1174,bridge,bridge,21.1161389,92.1969997,428.869,C
N1,1175,link,link,21.1158333,92.1971386,428.908,
N1,1176,link,link,21.1151667,92.1975552,428.995,
N1,1177,link,link,21.1146111,92.1979719,429.073,
N1,1178,link,link,21.1121111,92.2002778,429.45,
N1,1179,bridge,bridge,21.1118611,92.2006389,429.497,C
N1,1180,bridge,bridge,21.1090556,92.2045278,429.812,C
N1,1181,link,link,21.1078333,92.2058611,430.242,
N1,1182,link,link,21.1078333,92.2069444,430.44,
N1,1183,link,link,21.1058333,92.20725,430.51,
N1,1184,bridge,bridge,21.1053611,92.2073889,430.574,C
N1,1185,bridge,bridge,21.1043611,92.2075278,430.694,C
N1,1186,bridge,bridge,21.1026389,92.2077778,430.901,A
N1,1187,link,link,21.1012778,92.2081389,431.073,
N1,1188,link,link,21.0996386,92.2091667,431.293,
N1,1189,link,link,21.0975552,92.2105,431.578,
N1,1190,bridge,bridge,21.097333,92.2106111,431.606,B
N1,1191,link,link,21.0939441,92.2118611,432.005,
N1,1192,link,link,21.0936663,92.2119444,432.041,
N1,1193,link,link,21.0923052,92.2123333,432.199,
N1,1194,link,link,21.090333,92.2129444,432.434,
N1,1195,link,link,21.0891941,92.2135,432.578,
N1,1196,bridge,bridge,21.0864997,92.2151111,432.924,A
N1,1197,bridge,bridge,21.0859441,92.2153889,432.992,A
N1,1198,link,link,21.0838608,92.2161111,433.245,
N1,1199,link,link,21.0811104,92.2169438,433.578,
N1,1200,bridge,bridge,21.0803049,92.2174993,433.683,A
N1,1201,bridge,bridge,21.0783327,92.2186382,433.944,A
N1,1202,bridge,bridge,21.077916,92.2189993,434.003,A
N1,1203,link,link,21.0765549,92.2209993,434.263,
N1,1204,link,link,21.0745271,92.2220549,434.522,
N1,1205,link,link,21.0735271,92.2226104,434.668,
N1,1206,bridge,bridge,21.0728327,92.2232216,434.778,B
N1,1207,link,link,21.071666,92.2242216,434.96,
N1,1208,bridge,bridge,21.0691104,92.2246382,435.272,B
N1,1209,link,link,21.0668882,92.2246104,435.522,
N1,1210,link,link,21.0655833,92.2245549,435.668,
N1,1211,bridge,bridge,21.0650556,92.2245271,435.746,C
N1,1212,link,link,21.063,92.2254993,436.007,
N1,1213,link,link,21.0615556,92.2262771,436.195,
N1,1214,link,link,21.0597778,92.2263882,436.399,
N1,1215,link,link,21.0596667,92.2263882,436.414,
N1,1216,link,link,21.0565833,92.2266104,436.756,
N1,1217,bridge,bridge,21.0549722,92.2268049,436.94,C
N1,1218,link,link,21.0513611,92.2302493,437.588,
N1,1219,link,link,21.0513611,92.2305827,437.626,
N1,1220,link,link,21.0513056,92.2317493,437.751,
N1,1221,bridge,bridge,21.0512778,92.2323327,437.815,C
N1,1222,link,link,21.0507222,92.2338608,438.004,
N1,1223,link,link,21.0479441,92.2346386,438.332,
N1,1224,link,link,21.0446941,92.2356941,438.713,
N1,1225,link,link,21.0439163,92.2359441,438.8,
N1,1226,bridge,bridge,21.0407497,92.2374997,439.197,A
N1,1227,link,link,21.0363608,92.2396941,439.737,
N1,1228,bridge,bridge,21.0360552,92.2398608,439.778,A
N1,1229,link,link,21.0338608,92.2407774,440.049,
N1,1230,bridge,bridge,21.0321104,92.241083,440.252,A
N1,1231,bridge,bridge,21.0300549,92.2413608,440.485,B
N1,1232,bridge,bridge,21.0269438,92.2416941,440.839,A
N1,1233,link,link,21.0249993,92.2418608,441.048,
N1,1234,bridge,bridge,21.0228882,92.2420274,441.292,A
N1,1235,bridge,bridge,21.0226104,92.2420552,441.327,B
N1,1236,link,link,21.0186104,92.2431386,441.811,
N1,1237,bridge,bridge,21.0169993,92.2440274,442.018,A
N1,1238,bridge,bridge,21.0150833,92.245333,442.274,A
N1,1239,link,link,21.0107222,92.2487219,442.881,
N1,1240,bridge,bridge,21.0101389,92.2492497,442.972,A
N1,1241,bridge,bridge,21.0078889,92.251,443.288,A
N1,1242,bridge,bridge,21.0064444,92.2520833,443.489,C
N1,1243,link,link,21.0029444,92.2531944,443.913,
N1,1244,bridge,bridge,20.9990274,92.2537778,444.358,B
