,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
38,0.0,0.05,0.1,0.2,38,1172.1765300961051,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.18254547753077,Kutalpur Bridge
39,0.0,0.05,0.1,0.2,39,1206.1351087325859,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.27533117316025,UKLIA-SHAHABMARKAT
40,0.05,0.1,0.2,0.4,40,2413.0779922223824,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.79203541653553,OKYIA STATION
41,0.05,0.1,0.2,0.4,41,2281.0999586378052,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.46659032016146,OKYIA STATION
42,0.05,0.1,0.2,0.4,42,2329.54317169718,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.7865247526305,MONU PC GIRDER BRIDGE
43,0.05,0.1,0.2,0.4,43,2171.6397679324896,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.17095622769304,SHATORA RCC GIDER BRIDGE
44,0.05,0.1,0.2,0.4,44,2299.135209746144,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.32348290491862,SHATORA RCC GIDER BRIDGE
45,0.05,0.1,0.2,0.4,45,2499.0964586846544,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",142.2392749737217,KAKUM TOLI CHACK BOX CULVERT
46,0.05,0.1,0.2,0.4,46,2284.3069221260816,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.94196362203738,SHOMO PUR BOX CULVERT
47,0.05,0.1,0.2,0.4,47,2185.42156507015,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",142.71818920000027,Elaspur steal deck
48,0.05,0.1,0.2,0.4,48,2133.7549191848207,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",142.06603194147502,JAMALPUR
49,0.05,0.1,0.2,0.4,49,2254.8897178829566,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.8844719588387,KOWKIA BOX CULVERT
